aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_product_unoptimiesed;memout_product_unoptimiesed;states_product_unoptimiesed;time_product_unoptimiesed;acc_product_unoptimiesed;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkE/automatonD324.hoa;6;False;False;97690;4.25107;7;False;False;14253;0.101865;27;False;False;14253;0.066767;29;False;False;97966;6.26991;10;False;False;124305;8.50771;6;False;False;284906;15.9497;8;False;False;2652;0.072467;31
temp_hoas/benchmarkE/automatonA25.hoa;7;False;False;1362;0.026994;4;False;False;294;0.015549;10;False;False;294;0.012475;14;False;False;1143;0.028605;4;False;False;1313;0.040735;6;False;False;1362;0.027167;4;False;False;577;0.016825;14
temp_hoas/benchmarkE/automatonA332.hoa;14;False;False;294;0.009402;6;False;False;245;0.012496;12;False;False;245;0.010576;14;False;False;325;0.022666;8;False;False;325;0.019865;8;False;False;294;0.009541;6;False;False;363;0.01305;16
temp_hoas/benchmarkE/automatonC35.hoa;17;False;False;468;0.019177;10;False;False;156;0.010883;8;False;False;156;0.010322;10;False;False;170;0.015526;10;False;False;159;0.0141;8;False;False;151;0.009063;8;False;False;150;0.010575;11
temp_hoas/benchmarkE/automatonA271.hoa;13;False;False;31570;0.881008;13;False;False;615362;6.15529;41;False;False;615362;3.67581;49;False;False;3001389;202.845;25;False;False;5128395;369.24;21;True;False;-1;-1;-1;False;False;27163;1.25671;47
temp_hoas/benchmarkE/automatonC69.hoa;11;False;False;37;0.004351;5;False;False;64;0.009684;9;False;False;64;0.008934;11;False;False;72;0.013968;7;False;False;109;0.015421;7;False;False;738;0.031746;14;False;False;116;0.00992;15
temp_hoas/benchmarkE/automatonC229.hoa;11;False;False;126;0.009943;6;False;False;98;0.00989;8;False;False;98;0.008971;12;False;False;130;0.014024;6;False;False;108;0.012804;6;False;False;121;0.008939;6;False;False;122;0.009393;11
temp_hoas/benchmarkE/automatonC87.hoa;9;False;False;22;0.003583;2;False;False;21;0.007543;2;False;False;38;0.006889;12;False;False;21;0.007439;2;False;False;22;0.008534;2;False;False;22;0.00412;2;False;False;97;0.007861;15
temp_hoas/benchmarkE/automatonA299.hoa;21;False;False;111;0.004612;6;False;False;90;0.007592;10;False;False;90;0.007057;14;False;False;112;0.008093;6;False;False;112;0.007952;6;False;False;111;0.004748;6;False;False;185;0.00782;13
temp_hoas/benchmarkE/automatonC186.hoa;8;False;False;74;0.00889;3;False;False;99;0.009706;4;False;False;99;0.009314;5;False;False;88;0.012793;3;False;False;98;0.014764;3;False;False;1337;0.049254;9;False;False;101;0.009745;7
temp_hoas/benchmarkE/automatonA134.hoa;16;False;False;20646;0.426068;17;False;False;49070;3.55275;38;False;False;748695;6.08095;63;False;False;3607009;197.165;32;False;False;14531961;1122.77;32;True;False;-1;-1;-1;False;False;16408;0.888972;64
temp_hoas/benchmarkE/automatonD287.hoa;9;False;False;249;0.006296;2;False;False;234;0.006769;2;False;False;234;0.006621;2;False;False;185;0.006202;2;False;False;249;0.007027;2;False;False;249;0.006521;2;False;False;234;0.007535;2
temp_hoas/benchmarkE/automatonD42.hoa;4;False;False;7702;0.222731;2;False;False;149;0.015046;2;False;False;648;0.013997;10;False;False;6803;0.193993;2;False;False;7386;0.357985;2;False;False;7543;0.217455;2;False;False;539;0.016397;12
temp_hoas/benchmarkE/automatonA76.hoa;18;False;False;231755;4.03292;19;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkE/automatonA61.hoa;3;False;False;1050;0.014096;9;False;False;3372;0.039782;18;False;False;3372;0.023644;20;False;False;5421;0.100529;16;False;False;8899;0.178135;14;False;False;11600;0.291617;14;False;False;1457;0.031832;21
temp_hoas/benchmarkE/automatonA198.hoa;20;False;True;-1;-1;-1;False;False;40533;0.373878;41;False;False;40533;0.231117;43;False;False;1229126;66.5001;26;False;False;3491611;226.437;30;False;False;2493003;95.6658;28;False;False;6656;0.250003;48
temp_hoas/benchmarkE/automatonD257.hoa;19;False;False;784356;24.6538;24;False;False;938;0.403394;8;False;False;461719;1.52285;52;False;False;15624467;1140.63;28;True;False;-1;-1;-1;False;False;4858118;205.301;28;False;False;13411;0.497226;47
temp_hoas/benchmarkE/automatonC271.hoa;13;False;False;2169;0.139346;7;False;False;143;0.016009;11;False;False;143;0.013102;13;False;False;389;0.038384;7;False;False;716;0.053311;7;False;False;1224;0.057554;10;False;False;183;0.014965;17
temp_hoas/benchmarkE/automatonD209.hoa;11;False;False;72930;2.41352;29;False;False;3923;0.118789;13;False;False;27825;0.111421;49;False;False;29627;1.25141;22;False;False;112050;6.24036;30;False;False;141768;6.03454;29;False;False;5032;0.120552;44
temp_hoas/benchmarkE/automatonA180.hoa;2;False;False;144;0.002859;7;False;False;436;0.008794;12;False;False;436;0.00618;19;False;False;489;0.009279;9;False;False;489;0.009232;9;False;False;2188;0.052214;12;False;False;308;0.007864;14
temp_hoas/benchmarkE/automatonA255.hoa;17;False;False;41283;1.39296;12;False;False;2477;0.050684;26;False;False;2477;0.034273;32;False;False;9583;0.462315;14;False;False;9811;0.468513;14;False;False;6983;0.226476;14;False;False;1173;0.039457;31
temp_hoas/benchmarkE/automatonC325.hoa;7;False;False;3459;0.117659;4;False;False;94;0.012326;12;False;False;94;0.010531;14;False;False;3046;0.113566;4;False;False;3510;0.180416;4;False;False;3459;0.118038;4;False;False;137;0.011685;18
