aut;old_acc;timeout_limited;memout_limited;states_limited;time_limited;acc_limited;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkF/automaton1361.hoa;3;False;False;634;0.014869;15;False;False;428;0.014378;11
temp_hoas/benchmarkF/automaton1479.hoa;41;False;False;460;0.018793;19;False;False;271;0.017824;14
temp_hoas/benchmarkF/automaton894.hoa;16;False;False;22328;1.23355;55;False;False;19883;1.68893;26
temp_hoas/benchmarkF/automaton691.hoa;13;False;False;4877;0.132239;28;False;False;17544;0.153413;24
temp_hoas/benchmarkF/automaton659.hoa;21;False;False;161590;15.6502;107;False;False;442177;30.8241;33
temp_hoas/benchmarkF/automaton1544.hoa;26;False;False;85218;5.92177;97;False;False;2255;3.63545;12
temp_hoas/benchmarkF/automaton600.hoa;2;False;False;571;0.032927;9;False;False;571;0.035108;9
temp_hoas/benchmarkF/automaton558.hoa;40;False;False;114893;7.6908;45;False;False;43461;18.187;17
temp_hoas/benchmarkF/automaton1935.hoa;17;False;False;231531;15.9684;50;False;False;187815;14.9954;12
temp_hoas/benchmarkF/automaton518.hoa;40;False;False;799260;161.243;139;False;False;20845;137.267;13
temp_hoas/benchmarkF/automaton1893.hoa;15;False;False;4050;0.479924;47;False;False;1272;0.388905;16
temp_hoas/benchmarkF/automaton154.hoa;36;False;False;151254;12.1352;126;False;False;64630;14.0492;56
temp_hoas/benchmarkF/automaton1259.hoa;21;False;False;129910;7.7356;74;False;False;38482;20.603;20
temp_hoas/benchmarkF/automaton609.hoa;11;False;False;2485;0.092102;41;False;False;108;0.067744;7
temp_hoas/benchmarkF/automaton1699.hoa;21;False;False;189688;17.2309;99;False;False;56081;41.8609;18
temp_hoas/benchmarkF/automaton436.hoa;38;False;False;514;4.92056;12;False;False;514;5.14637;12
temp_hoas/benchmarkF/automaton981.hoa;23;False;False;28551;1.06417;53;False;False;9560;1.07299;15
temp_hoas/benchmarkF/automaton1305.hoa;27;False;False;673912;118.186;105;False;False;424964;58.8447;17
temp_hoas/benchmarkF/automaton327.hoa;9;False;False;284;0.009171;6;False;False;225;0.008733;2
temp_hoas/benchmarkF/automaton1258.hoa;20;False;False;165088;13.4599;107;False;False;13675;11.557;22
temp_hoas/benchmarkF/automaton865.hoa;27;False;False;683179;80.5999;93;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton140.hoa;22;False;False;202015;13.2164;44;False;False;228430;28.4119;28
temp_hoas/benchmarkF/automaton1596.hoa;38;False;False;455210;57.348;107;False;False;1601744;558.454;41
temp_hoas/benchmarkF/automaton1148.hoa;30;False;False;1576088;96.4875;72;False;False;6616483;111.705;48
temp_hoas/benchmarkF/automaton1763.hoa;5;False;False;3;0.019052;1;False;False;3;0.019602;1
temp_hoas/benchmarkF/automaton256.hoa;18;False;False;1931;1.73693;12;False;False;1931;1.9072;12
temp_hoas/benchmarkF/automaton1533.hoa;15;False;False;1939;5.43269;13;False;False;1938;6.11059;13
temp_hoas/benchmarkF/automaton744.hoa;26;False;False;43090;3.58019;51;False;False;10244884;107.416;46
temp_hoas/benchmarkF/automaton255.hoa;17;False;False;106580;7.39636;56;False;False;11672842;97.7102;52
temp_hoas/benchmarkF/automaton133.hoa;15;False;False;163410;8.76092;46;False;False;382583;7.73681;28
temp_hoas/benchmarkF/automaton200.hoa;2;False;False;329;0.010829;14;False;False;205;0.010717;7
temp_hoas/benchmarkF/automaton1379.hoa;21;False;False;123892;12.6436;96;False;False;14311;15.6181;16
temp_hoas/benchmarkF/automaton1302.hoa;24;False;False;297939;33.0288;53;False;False;14693;64.2461;12
temp_hoas/benchmarkF/automaton680.hoa;2;False;False;370;0.036958;2;False;False;370;0.038893;2
temp_hoas/benchmarkF/automaton1906.hoa;28;False;False;13189;0.358525;44;False;False;85160;0.597309;39
temp_hoas/benchmarkF/automaton697.hoa;19;False;False;4;1.8904;1;False;False;4;1.99656;1
temp_hoas/benchmarkF/automaton1177.hoa;19;False;False;22050;0.866853;48;False;False;86638;1.03857;44
temp_hoas/benchmarkF/automaton693.hoa;15;False;False;5252;0.25844;61;False;False;378;0.195135;9
temp_hoas/benchmarkF/automaton1738.hoa;20;False;False;44505;3.47409;98;False;False;1227;1.8819;14
temp_hoas/benchmarkF/automaton430.hoa;32;False;True;-1;-1;-1;False;False;19863;691.245;13
temp_hoas/benchmarkF/automaton150.hoa;32;False;False;276812;25.2714;139;False;False;2952;11.9965;24
temp_hoas/benchmarkF/automaton1271.hoa;33;False;False;218541;9.20392;36;False;False;1198224;15.264;32
temp_hoas/benchmarkF/automaton690.hoa;12;False;False;4210;0.13849;38;False;False;272;0.123236;15
temp_hoas/benchmarkF/automaton244.hoa;6;False;False;244;0.118051;2;False;False;244;0.128891;2
temp_hoas/benchmarkF/automaton1860.hoa;22;False;False;1796354;384.183;98;False;False;299614;582.307;25
temp_hoas/benchmarkF/automaton1552.hoa;34;False;False;799364;100.374;142;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton1273.hoa;35;False;False;32062;2.23633;97;False;False;30332;3.80701;40
temp_hoas/benchmarkF/automaton1300.hoa;22;False;False;1188;0.037759;32;False;False;3290;0.040622;28
temp_hoas/benchmarkF/automaton1837.hoa;39;False;False;32034;2.20681;79;False;False;920695;10.0126;40
temp_hoas/benchmarkF/automaton1270.hoa;32;False;False;16381;1.04347;78;False;False;2760836;23.2061;68
temp_hoas/benchmarkF/automaton1208.hoa;10;False;False;1338;0.866766;8;False;False;1338;0.954095;8
temp_hoas/benchmarkF/automaton726.hoa;8;False;False;114;1.23226;2;False;False;114;1.28617;2
temp_hoas/benchmarkF/automaton1880.hoa;2;False;False;379;0.015654;11;False;False;379;0.016551;11
temp_hoas/benchmarkF/automaton321.hoa;3;False;False;5316;0.150486;12;False;False;3570;0.15298;2
temp_hoas/benchmarkF/automaton1009.hoa;11;False;False;15859;0.756514;44;False;False;6006;0.752016;14
temp_hoas/benchmarkF/automaton1798.hoa;40;False;False;304401;39.2602;162;False;False;10893;18.5481;17
temp_hoas/benchmarkF/automaton1486.hoa;8;False;False;326;0.00813;10;False;False;166;0.007737;6
